發生日期時間,公司名稱,工程名稱,事故詳細地址,災害類型,罹災人數,場所肇災處(事故經過)
110/03/08 10:00,大陸工程股份有限公司,廠房新建工程 (第2期),臺北市內湖區瑞光路38號,被撞,1死,工地進行深開挖作業，邊坡土質鬆軟且未設置擋土支撐，導致土石突然崩塌將下方勞工掩埋。
110/02/25 08:00,互助營造股份有限公司,捷運系統土建工程 (第1期),臺中市西屯區台灣大道450號,墜落、滾落,1死,勞工於外牆鷹架上進行磁磚黏貼作業，因踏板未鋪滿且未設置安全網，踩空墜落死亡。
110/03/03 12:00,建國工程股份有限公司,捷運系統土建工程 (第2期),桃園市中壢區中正路355號,倒塌、崩塌,2死,勞工於高處從事模板組配作業時，因未配戴安全帶且現場未設護欄，不慎墜落至地面死亡。
110/12/10 15:00,中鼎工程股份有限公司,中心商業大樓新建案 (第2期),高雄市苓雅區四維四路455號,墜落、滾落,2死,勞工於外牆鷹架上進行磁磚黏貼作業，因踏板未鋪滿且未設置安全網，踩空墜落死亡。
110/02/05 15:00,瑞助營造股份有限公司,高速公路拓寬工程 (第1期),臺北市內湖區瑞光路310號,倒塌、崩塌,1死,工地進行深開挖作業，邊坡土質鬆軟且未設置擋土支撐，導致土石突然崩塌將下方勞工掩埋。
110/03/07 08:00,瑞助營造股份有限公司,廠房新建工程 (第2期),桃園市中壢區中正路121號,墜落、滾落,1死,工地進行深開挖作業，邊坡土質鬆軟且未設置擋土支撐，導致土石突然崩塌將下方勞工掩埋。
110/11/23 17:00,中鼎工程股份有限公司,中心商業大樓新建案 (第1期),桃園市中壢區中正路86號,感電,1死,勞工於高處從事模板組配作業時，因未配戴安全帶且現場未設護欄，不慎墜落至地面死亡。
110/11/24 17:00,中鼎工程股份有限公司,廠房新建工程 (第1期),臺中市西屯區台灣大道138號,倒塌、崩塌,1死,勞工於外牆鷹架上進行磁磚黏貼作業，因踏板未鋪滿且未設置安全網，踩空墜落死亡。
110/01/06 11:00,達欣工程股份有限公司,廠房新建工程 (第3期),臺北市內湖區瑞光路442號,感電,2死,勞工於高處從事模板組配作業時，因未配戴安全帶且現場未設護欄，不慎墜落至地面死亡。
110/07/21 12:00,皇昌營造股份有限公司,捷運系統土建工程 (第3期),桃園市中壢區中正路157號,被撞,2死,勞工於高處從事模板組配作業時，因未配戴安全帶且現場未設護欄，不慎墜落至地面死亡。
110/05/15 12:00,大陸工程股份有限公司,廠房新建工程 (第1期),臺中市西屯區台灣大道97號,感電,1死,工地進行深開挖作業，邊坡土質鬆軟且未設置擋土支撐，導致土石突然崩塌將下方勞工掩埋。
110/10/07 15:00,根基營造股份有限公司,中心商業大樓新建案 (第1期),臺北市內湖區瑞光路165號,被撞,1死,勞工於外牆鷹架上進行磁磚黏貼作業，因踏板未鋪滿且未設置安全網，踩空墜落死亡。
110/05/15 10:00,皇昌營造股份有限公司,廠房新建工程 (第1期),臺北市內湖區瑞光路120號,感電,1死,工地進行深開挖作業，邊坡土質鬆軟且未設置擋土支撐，導致土石突然崩塌將下方勞工掩埋。
110/04/01 12:00,瑞助營造股份有限公司,中心商業大樓新建案 (第2期),臺中市西屯區台灣大道421號,物體飛落,2死,勞工於高處從事模板組配作業時，因未配戴安全帶且現場未設護欄，不慎墜落至地面死亡。
110/06/24 08:00,大陸工程股份有限公司,高速公路拓寬工程 (第1期),高雄市苓雅區四維四路488號,倒塌、崩塌,2死,移動式起重機進行鋼梁吊裝作業時，因吊線斷裂導致鋼梁飛落，砸中下方地面配合之勞工。
110/04/13 17:00,皇昌營造股份有限公司,廠房新建工程 (第1期),新北市板橋區文化路460號,被撞,1死,工地進行深開挖作業，邊坡土質鬆軟且未設置擋土支撐，導致土石突然崩塌將下方勞工掩埋。
110/06/13 10:00,達欣工程股份有限公司,高速公路拓寬工程 (第3期),高雄市苓雅區四維四路22號,被撞,2死,工地進行深開挖作業，邊坡土質鬆軟且未設置擋土支撐，導致土石突然崩塌將下方勞工掩埋。
110/11/14 12:00,建國工程股份有限公司,中心商業大樓新建案 (第3期),高雄市苓雅區四維四路185號,被撞,1死,移動式起重機進行鋼梁吊裝作業時，因吊線斷裂導致鋼梁飛落，砸中下方地面配合之勞工。
110/03/13 15:00,建國工程股份有限公司,集合住宅新建工程 (第3期),臺北市內湖區瑞光路389號,物體飛落,1死,勞工於外牆鷹架上進行磁磚黏貼作業，因踏板未鋪滿且未設置安全網，踩空墜落死亡。
110/04/09 12:00,皇昌營造股份有限公司,廠房新建工程 (第3期),臺北市內湖區瑞光路248號,被撞,2死,工地進行深開挖作業，邊坡土質鬆軟且未設置擋土支撐，導致土石突然崩塌將下方勞工掩埋。
110/02/17 16:00,皇昌營造股份有限公司,中心商業大樓新建案 (第3期),新北市板橋區文化路344號,被撞,2死,工地進行深開挖作業，邊坡土質鬆軟且未設置擋土支撐，導致土石突然崩塌將下方勞工掩埋。
110/11/10 12:00,遠雄營造股份有限公司,中心商業大樓新建案 (第3期),臺中市西屯區台灣大道12號,感電,1死,工地進行深開挖作業，邊坡土質鬆軟且未設置擋土支撐，導致土石突然崩塌將下方勞工掩埋。
110/06/11 10:00,根基營造股份有限公司,中心商業大樓新建案 (第3期),桃園市中壢區中正路332號,墜落、滾落,1死,工地進行深開挖作業，邊坡土質鬆軟且未設置擋土支撐，導致土石突然崩塌將下方勞工掩埋。
110/10/12 17:00,根基營造股份有限公司,高速公路拓寬工程 (第1期),新北市板橋區文化路371號,被撞,2死,勞工於高處從事模板組配作業時，因未配戴安全帶且現場未設護欄，不慎墜落至地面死亡。
110/12/03 15:00,大陸工程股份有限公司,中心商業大樓新建案 (第3期),桃園市中壢區中正路264號,被撞,2死,移動式起重機進行鋼梁吊裝作業時，因吊線斷裂導致鋼梁飛落，砸中下方地面配合之勞工。
110/03/14 09:00,互助營造股份有限公司,中心商業大樓新建案 (第3期),桃園市中壢區中正路426號,感電,1死,勞工於高處從事模板組配作業時，因未配戴安全帶且現場未設護欄，不慎墜落至地面死亡。
110/02/02 16:00,建國工程股份有限公司,捷運系統土建工程 (第2期),臺北市內湖區瑞光路126號,感電,2死,勞工於外牆鷹架上進行磁磚黏貼作業，因踏板未鋪滿且未設置安全網，踩空墜落死亡。
110/08/01 10:00,中鼎工程股份有限公司,捷運系統土建工程 (第1期),臺中市西屯區台灣大道75號,感電,2死,工地進行深開挖作業，邊坡土質鬆軟且未設置擋土支撐，導致土石突然崩塌將下方勞工掩埋。
110/10/12 08:00,皇昌營造股份有限公司,廠房新建工程 (第3期),桃園市中壢區中正路319號,墜落、滾落,1死,移動式起重機進行鋼梁吊裝作業時，因吊線斷裂導致鋼梁飛落，砸中下方地面配合之勞工。
110/07/12 15:00,互助營造股份有限公司,中心商業大樓新建案 (第2期),高雄市苓雅區四維四路297號,感電,2死,移動式起重機進行鋼梁吊裝作業時，因吊線斷裂導致鋼梁飛落，砸中下方地面配合之勞工。
110/10/02 08:00,中鼎工程股份有限公司,中心商業大樓新建案 (第2期),新北市板橋區文化路74號,墜落、滾落,2死,勞工於高處從事模板組配作業時，因未配戴安全帶且現場未設護欄，不慎墜落至地面死亡。
110/09/09 08:00,達欣工程股份有限公司,中心商業大樓新建案 (第2期),臺北市內湖區瑞光路106號,物體飛落,2死,勞工於高處從事模板組配作業時，因未配戴安全帶且現場未設護欄，不慎墜落至地面死亡。
110/08/07 13:00,中鼎工程股份有限公司,捷運系統土建工程 (第2期),臺北市內湖區瑞光路127號,被撞,2死,勞工於高處從事模板組配作業時，因未配戴安全帶且現場未設護欄，不慎墜落至地面死亡。
110/01/12 13:00,互助營造股份有限公司,廠房新建工程 (第2期),臺中市西屯區台灣大道450號,感電,2死,移動式起重機進行鋼梁吊裝作業時，因吊線斷裂導致鋼梁飛落，砸中下方地面配合之勞工。
110/05/28 10:00,互助營造股份有限公司,中心商業大樓新建案 (第3期),新北市板橋區文化路273號,墜落、滾落,2死,勞工於外牆鷹架上進行磁磚黏貼作業，因踏板未鋪滿且未設置安全網，踩空墜落死亡。
110/08/09 10:00,根基營造股份有限公司,中心商業大樓新建案 (第1期),臺中市西屯區台灣大道48號,物體飛落,2死,勞工於高處從事模板組配作業時，因未配戴安全帶且現場未設護欄，不慎墜落至地面死亡。
110/11/03 11:00,大陸工程股份有限公司,捷運系統土建工程 (第2期),高雄市苓雅區四維四路54號,倒塌、崩塌,1死,工地進行深開挖作業，邊坡土質鬆軟且未設置擋土支撐，導致土石突然崩塌將下方勞工掩埋。
110/11/22 16:00,根基營造股份有限公司,廠房新建工程 (第3期),臺中市西屯區台灣大道50號,感電,1死,工地進行深開挖作業，邊坡土質鬆軟且未設置擋土支撐，導致土石突然崩塌將下方勞工掩埋。
110/02/14 14:00,遠雄營造股份有限公司,捷運系統土建工程 (第3期),臺北市內湖區瑞光路426號,感電,2死,移動式起重機進行鋼梁吊裝作業時，因吊線斷裂導致鋼梁飛落，砸中下方地面配合之勞工。
110/11/26 17:00,工信工程股份有限公司,捷運系統土建工程 (第1期),高雄市苓雅區四維四路331號,物體飛落,1死,移動式起重機進行鋼梁吊裝作業時，因吊線斷裂導致鋼梁飛落，砸中下方地面配合之勞工。
110/10/26 10:00,根基營造股份有限公司,高速公路拓寬工程 (第2期),臺北市內湖區瑞光路246號,被撞,1死,勞工於外牆鷹架上進行磁磚黏貼作業，因踏板未鋪滿且未設置安全網，踩空墜落死亡。
110/03/13 11:00,達欣工程股份有限公司,捷運系統土建工程 (第3期),臺北市內湖區瑞光路440號,墜落、滾落,2死,工地進行深開挖作業，邊坡土質鬆軟且未設置擋土支撐，導致土石突然崩塌將下方勞工掩埋。
110/08/09 17:00,遠雄營造股份有限公司,高速公路拓寬工程 (第1期),桃園市中壢區中正路412號,墜落、滾落,1死,勞工於外牆鷹架上進行磁磚黏貼作業，因踏板未鋪滿且未設置安全網，踩空墜落死亡。
110/12/08 14:00,根基營造股份有限公司,廠房新建工程 (第3期),臺中市西屯區台灣大道435號,感電,2死,勞工於高處從事模板組配作業時，因未配戴安全帶且現場未設護欄，不慎墜落至地面死亡。
110/02/26 14:00,瑞助營造股份有限公司,捷運系統土建工程 (第3期),臺北市內湖區瑞光路287號,感電,1死,移動式起重機進行鋼梁吊裝作業時，因吊線斷裂導致鋼梁飛落，砸中下方地面配合之勞工。
110/08/23 10:00,建國工程股份有限公司,高速公路拓寬工程 (第3期),臺中市西屯區台灣大道260號,被撞,1死,勞工於高處從事模板組配作業時，因未配戴安全帶且現場未設護欄，不慎墜落至地面死亡。
110/12/21 10:00,大陸工程股份有限公司,集合住宅新建工程 (第1期),臺中市西屯區台灣大道299號,墜落、滾落,1死,勞工於高處從事模板組配作業時，因未配戴安全帶且現場未設護欄，不慎墜落至地面死亡。
110/09/25 10:00,達欣工程股份有限公司,廠房新建工程 (第1期),高雄市苓雅區四維四路286號,感電,1死,工地進行深開挖作業，邊坡土質鬆軟且未設置擋土支撐，導致土石突然崩塌將下方勞工掩埋。
110/05/14 17:00,大陸工程股份有限公司,中心商業大樓新建案 (第3期),高雄市苓雅區四維四路176號,倒塌、崩塌,1死,移動式起重機進行鋼梁吊裝作業時，因吊線斷裂導致鋼梁飛落，砸中下方地面配合之勞工。
110/09/13 16:00,中鼎工程股份有限公司,集合住宅新建工程 (第1期),高雄市苓雅區四維四路182號,感電,1死,勞工於高處從事模板組配作業時，因未配戴安全帶且現場未設護欄，不慎墜落至地面死亡。
110/08/07 13:00,互助營造股份有限公司,高速公路拓寬工程 (第1期),新北市板橋區文化路362號,被撞,2死,工地進行深開挖作業，邊坡土質鬆軟且未設置擋土支撐，導致土石突然崩塌將下方勞工掩埋。
110/06/18 10:00,大陸工程股份有限公司,集合住宅新建工程 (第2期),臺中市西屯區台灣大道479號,感電,2死,移動式起重機進行鋼梁吊裝作業時，因吊線斷裂導致鋼梁飛落，砸中下方地面配合之勞工。
110/02/24 14:00,瑞助營造股份有限公司,中心商業大樓新建案 (第2期),高雄市苓雅區四維四路68號,倒塌、崩塌,2死,移動式起重機進行鋼梁吊裝作業時，因吊線斷裂導致鋼梁飛落，砸中下方地面配合之勞工。
110/07/17 10:00,建國工程股份有限公司,捷運系統土建工程 (第1期),臺北市內湖區瑞光路299號,感電,2死,移動式起重機進行鋼梁吊裝作業時，因吊線斷裂導致鋼梁飛落，砸中下方地面配合之勞工。
110/04/21 14:00,達欣工程股份有限公司,廠房新建工程 (第2期),臺中市西屯區台灣大道183號,感電,2死,勞工於外牆鷹架上進行磁磚黏貼作業，因踏板未鋪滿且未設置安全網，踩空墜落死亡。
110/11/14 15:00,瑞助營造股份有限公司,捷運系統土建工程 (第3期),臺北市內湖區瑞光路248號,感電,1死,工地進行深開挖作業，邊坡土質鬆軟且未設置擋土支撐，導致土石突然崩塌將下方勞工掩埋。
110/04/12 15:00,遠雄營造股份有限公司,廠房新建工程 (第3期),臺北市內湖區瑞光路104號,墜落、滾落,1死,工地進行深開挖作業，邊坡土質鬆軟且未設置擋土支撐，導致土石突然崩塌將下方勞工掩埋。
110/02/09 08:00,建國工程股份有限公司,廠房新建工程 (第2期),高雄市苓雅區四維四路19號,感電,2死,移動式起重機進行鋼梁吊裝作業時，因吊線斷裂導致鋼梁飛落，砸中下方地面配合之勞工。
110/05/12 17:00,達欣工程股份有限公司,集合住宅新建工程 (第1期),臺北市內湖區瑞光路267號,感電,1死,勞工於高處從事模板組配作業時，因未配戴安全帶且現場未設護欄，不慎墜落至地面死亡。
110/12/27 14:00,大陸工程股份有限公司,廠房新建工程 (第3期),臺中市西屯區台灣大道288號,感電,2死,勞工於外牆鷹架上進行磁磚黏貼作業，因踏板未鋪滿且未設置安全網，踩空墜落死亡。
110/02/10 10:00,瑞助營造股份有限公司,集合住宅新建工程 (第1期),新北市板橋區文化路16號,被撞,2死,勞工於外牆鷹架上進行磁磚黏貼作業，因踏板未鋪滿且未設置安全網，踩空墜落死亡。
110/12/12 14:00,中鼎工程股份有限公司,集合住宅新建工程 (第1期),桃園市中壢區中正路328號,物體飛落,2死,勞工於高處從事模板組配作業時，因未配戴安全帶且現場未設護欄，不慎墜落至地面死亡。
110/12/13 15:00,工信工程股份有限公司,廠房新建工程 (第2期),桃園市中壢區中正路176號,倒塌、崩塌,2死,勞工於外牆鷹架上進行磁磚黏貼作業，因踏板未鋪滿且未設置安全網，踩空墜落死亡。
110/03/17 12:00,皇昌營造股份有限公司,高速公路拓寬工程 (第3期),臺中市西屯區台灣大道79號,倒塌、崩塌,2死,工地進行深開挖作業，邊坡土質鬆軟且未設置擋土支撐，導致土石突然崩塌將下方勞工掩埋。
110/08/08 12:00,達欣工程股份有限公司,高速公路拓寬工程 (第3期),臺北市內湖區瑞光路460號,感電,1死,移動式起重機進行鋼梁吊裝作業時，因吊線斷裂導致鋼梁飛落，砸中下方地面配合之勞工。
110/08/10 16:00,遠雄營造股份有限公司,捷運系統土建工程 (第1期),臺北市內湖區瑞光路21號,墜落、滾落,2死,勞工於外牆鷹架上進行磁磚黏貼作業，因踏板未鋪滿且未設置安全網，踩空墜落死亡。
110/01/28 09:00,建國工程股份有限公司,廠房新建工程 (第3期),新北市板橋區文化路294號,被撞,1死,勞工於外牆鷹架上進行磁磚黏貼作業，因踏板未鋪滿且未設置安全網，踩空墜落死亡。
110/02/01 12:00,瑞助營造股份有限公司,中心商業大樓新建案 (第2期),桃園市中壢區中正路108號,感電,2死,勞工於高處從事模板組配作業時，因未配戴安全帶且現場未設護欄，不慎墜落至地面死亡。
110/11/25 14:00,互助營造股份有限公司,集合住宅新建工程 (第3期),桃園市中壢區中正路254號,墜落、滾落,2死,勞工於外牆鷹架上進行磁磚黏貼作業，因踏板未鋪滿且未設置安全網，踩空墜落死亡。
110/10/08 10:00,互助營造股份有限公司,高速公路拓寬工程 (第1期),臺北市內湖區瑞光路416號,墜落、滾落,1死,移動式起重機進行鋼梁吊裝作業時，因吊線斷裂導致鋼梁飛落，砸中下方地面配合之勞工。
110/01/02 13:00,瑞助營造股份有限公司,集合住宅新建工程 (第2期),新北市板橋區文化路448號,物體飛落,1死,工地進行深開挖作業，邊坡土質鬆軟且未設置擋土支撐，導致土石突然崩塌將下方勞工掩埋。
110/11/25 14:00,大陸工程股份有限公司,高速公路拓寬工程 (第2期),桃園市中壢區中正路369號,感電,2死,移動式起重機進行鋼梁吊裝作業時，因吊線斷裂導致鋼梁飛落，砸中下方地面配合之勞工。
110/03/22 11:00,互助營造股份有限公司,中心商業大樓新建案 (第3期),新北市板橋區文化路379號,物體飛落,1死,勞工於外牆鷹架上進行磁磚黏貼作業，因踏板未鋪滿且未設置安全網，踩空墜落死亡。
110/06/05 15:00,互助營造股份有限公司,捷運系統土建工程 (第3期),桃園市中壢區中正路338號,墜落、滾落,2死,工地進行深開挖作業，邊坡土質鬆軟且未設置擋土支撐，導致土石突然崩塌將下方勞工掩埋。
110/02/24 08:00,建國工程股份有限公司,高速公路拓寬工程 (第3期),臺北市內湖區瑞光路184號,被撞,2死,勞工於高處從事模板組配作業時，因未配戴安全帶且現場未設護欄，不慎墜落至地面死亡。
110/01/16 14:00,達欣工程股份有限公司,中心商業大樓新建案 (第1期),臺北市內湖區瑞光路247號,倒塌、崩塌,2死,移動式起重機進行鋼梁吊裝作業時，因吊線斷裂導致鋼梁飛落，砸中下方地面配合之勞工。
110/11/02 13:00,根基營造股份有限公司,中心商業大樓新建案 (第1期),新北市板橋區文化路53號,倒塌、崩塌,2死,工地進行深開挖作業，邊坡土質鬆軟且未設置擋土支撐，導致土石突然崩塌將下方勞工掩埋。
110/08/02 13:00,工信工程股份有限公司,集合住宅新建工程 (第2期),臺北市內湖區瑞光路91號,被撞,1死,移動式起重機進行鋼梁吊裝作業時，因吊線斷裂導致鋼梁飛落，砸中下方地面配合之勞工。
110/08/25 11:00,工信工程股份有限公司,集合住宅新建工程 (第3期),臺北市內湖區瑞光路106號,物體飛落,2死,勞工於高處從事模板組配作業時，因未配戴安全帶且現場未設護欄，不慎墜落至地面死亡。
110/01/24 15:00,大陸工程股份有限公司,廠房新建工程 (第1期),臺中市西屯區台灣大道129號,感電,1死,勞工於高處從事模板組配作業時，因未配戴安全帶且現場未設護欄，不慎墜落至地面死亡。
110/11/22 08:00,根基營造股份有限公司,集合住宅新建工程 (第1期),新北市板橋區文化路480號,墜落、滾落,2死,勞工於高處從事模板組配作業時，因未配戴安全帶且現場未設護欄，不慎墜落至地面死亡。
110/02/19 14:00,大陸工程股份有限公司,廠房新建工程 (第1期),臺中市西屯區台灣大道198號,墜落、滾落,2死,勞工於高處從事模板組配作業時，因未配戴安全帶且現場未設護欄，不慎墜落至地面死亡。
110/08/27 16:00,大陸工程股份有限公司,集合住宅新建工程 (第3期),新北市板橋區文化路74號,物體飛落,2死,勞工於高處從事模板組配作業時，因未配戴安全帶且現場未設護欄，不慎墜落至地面死亡。
110/01/27 10:00,工信工程股份有限公司,廠房新建工程 (第1期),桃園市中壢區中正路226號,被撞,1死,工地進行深開挖作業，邊坡土質鬆軟且未設置擋土支撐，導致土石突然崩塌將下方勞工掩埋。
110/08/05 13:00,根基營造股份有限公司,高速公路拓寬工程 (第3期),臺北市內湖區瑞光路53號,墜落、滾落,1死,勞工於高處從事模板組配作業時，因未配戴安全帶且現場未設護欄，不慎墜落至地面死亡。
110/05/22 17:00,根基營造股份有限公司,集合住宅新建工程 (第1期),臺中市西屯區台灣大道171號,感電,1死,勞工於高處從事模板組配作業時，因未配戴安全帶且現場未設護欄，不慎墜落至地面死亡。
110/11/18 16:00,瑞助營造股份有限公司,捷運系統土建工程 (第2期),新北市板橋區文化路426號,物體飛落,2死,工地進行深開挖作業，邊坡土質鬆軟且未設置擋土支撐，導致土石突然崩塌將下方勞工掩埋。
110/01/20 12:00,建國工程股份有限公司,廠房新建工程 (第1期),臺北市內湖區瑞光路286號,墜落、滾落,1死,工地進行深開挖作業，邊坡土質鬆軟且未設置擋土支撐，導致土石突然崩塌將下方勞工掩埋。
110/09/04 14:00,皇昌營造股份有限公司,中心商業大樓新建案 (第3期),臺中市西屯區台灣大道298號,被撞,2死,勞工於外牆鷹架上進行磁磚黏貼作業，因踏板未鋪滿且未設置安全網，踩空墜落死亡。
110/04/27 17:00,達欣工程股份有限公司,高速公路拓寬工程 (第2期),新北市板橋區文化路154號,感電,2死,工地進行深開挖作業，邊坡土質鬆軟且未設置擋土支撐，導致土石突然崩塌將下方勞工掩埋。
110/09/28 14:00,皇昌營造股份有限公司,集合住宅新建工程 (第1期),高雄市苓雅區四維四路337號,感電,2死,工地進行深開挖作業，邊坡土質鬆軟且未設置擋土支撐，導致土石突然崩塌將下方勞工掩埋。
110/03/28 16:00,達欣工程股份有限公司,捷運系統土建工程 (第1期),桃園市中壢區中正路383號,倒塌、崩塌,1死,移動式起重機進行鋼梁吊裝作業時，因吊線斷裂導致鋼梁飛落，砸中下方地面配合之勞工。
110/01/20 16:00,建國工程股份有限公司,捷運系統土建工程 (第1期),桃園市中壢區中正路328號,墜落、滾落,1死,勞工於外牆鷹架上進行磁磚黏貼作業，因踏板未鋪滿且未設置安全網，踩空墜落死亡。
110/05/01 16:00,皇昌營造股份有限公司,廠房新建工程 (第3期),高雄市苓雅區四維四路259號,墜落、滾落,2死,移動式起重機進行鋼梁吊裝作業時，因吊線斷裂導致鋼梁飛落，砸中下方地面配合之勞工。
110/03/11 15:00,中鼎工程股份有限公司,中心商業大樓新建案 (第3期),臺中市西屯區台灣大道25號,墜落、滾落,2死,移動式起重機進行鋼梁吊裝作業時，因吊線斷裂導致鋼梁飛落，砸中下方地面配合之勞工。
110/11/10 09:00,根基營造股份有限公司,捷運系統土建工程 (第3期),臺北市內湖區瑞光路291號,感電,2死,勞工於高處從事模板組配作業時，因未配戴安全帶且現場未設護欄，不慎墜落至地面死亡。
110/02/02 14:00,大陸工程股份有限公司,高速公路拓寬工程 (第3期),桃園市中壢區中正路343號,感電,2死,勞工於外牆鷹架上進行磁磚黏貼作業，因踏板未鋪滿且未設置安全網，踩空墜落死亡。
110/02/14 13:00,建國工程股份有限公司,高速公路拓寬工程 (第3期),臺中市西屯區台灣大道326號,墜落、滾落,1死,工地進行深開挖作業，邊坡土質鬆軟且未設置擋土支撐，導致土石突然崩塌將下方勞工掩埋。
110/03/21 13:00,遠雄營造股份有限公司,集合住宅新建工程 (第1期),桃園市中壢區中正路410號,感電,1死,勞工於外牆鷹架上進行磁磚黏貼作業，因踏板未鋪滿且未設置安全網，踩空墜落死亡。
110/01/26 10:00,工信工程股份有限公司,中心商業大樓新建案 (第3期),桃園市中壢區中正路85號,墜落、滾落,1死,工地進行深開挖作業，邊坡土質鬆軟且未設置擋土支撐，導致土石突然崩塌將下方勞工掩埋。
111/11/19 11:00,工信工程股份有限公司,高速公路拓寬工程 (第1期),臺北市內湖區瑞光路86號,倒塌、崩塌,2死,移動式起重機進行鋼梁吊裝作業時，因吊線斷裂導致鋼梁飛落，砸中下方地面配合之勞工。
111/04/08 09:00,根基營造股份有限公司,集合住宅新建工程 (第1期),高雄市苓雅區四維四路249號,倒塌、崩塌,1死,工地進行深開挖作業，邊坡土質鬆軟且未設置擋土支撐，導致土石突然崩塌將下方勞工掩埋。
111/06/10 09:00,瑞助營造股份有限公司,中心商業大樓新建案 (第2期),臺中市西屯區台灣大道450號,墜落、滾落,2死,勞工於外牆鷹架上進行磁磚黏貼作業，因踏板未鋪滿且未設置安全網，踩空墜落死亡。
111/04/10 11:00,達欣工程股份有限公司,高速公路拓寬工程 (第3期),臺中市西屯區台灣大道136號,倒塌、崩塌,1死,工地進行深開挖作業，邊坡土質鬆軟且未設置擋土支撐，導致土石突然崩塌將下方勞工掩埋。
111/11/28 10:00,達欣工程股份有限公司,中心商業大樓新建案 (第1期),臺北市內湖區瑞光路235號,倒塌、崩塌,2死,移動式起重機進行鋼梁吊裝作業時，因吊線斷裂導致鋼梁飛落，砸中下方地面配合之勞工。
111/05/13 12:00,根基營造股份有限公司,中心商業大樓新建案 (第2期),高雄市苓雅區四維四路392號,墜落、滾落,2死,勞工於外牆鷹架上進行磁磚黏貼作業，因踏板未鋪滿且未設置安全網，踩空墜落死亡。
111/04/19 13:00,大陸工程股份有限公司,集合住宅新建工程 (第3期),高雄市苓雅區四維四路185號,物體飛落,2死,勞工於外牆鷹架上進行磁磚黏貼作業，因踏板未鋪滿且未設置安全網，踩空墜落死亡。
111/01/21 12:00,達欣工程股份有限公司,廠房新建工程 (第3期),新北市板橋區文化路261號,倒塌、崩塌,1死,勞工於外牆鷹架上進行磁磚黏貼作業，因踏板未鋪滿且未設置安全網，踩空墜落死亡。
111/03/09 12:00,皇昌營造股份有限公司,中心商業大樓新建案 (第1期),高雄市苓雅區四維四路47號,物體飛落,2死,移動式起重機進行鋼梁吊裝作業時，因吊線斷裂導致鋼梁飛落，砸中下方地面配合之勞工。
111/12/08 12:00,建國工程股份有限公司,捷運系統土建工程 (第2期),臺北市內湖區瑞光路165號,被撞,1死,勞工於高處從事模板組配作業時，因未配戴安全帶且現場未設護欄，不慎墜落至地面死亡。
111/02/13 12:00,根基營造股份有限公司,廠房新建工程 (第3期),高雄市苓雅區四維四路91號,感電,2死,勞工於高處從事模板組配作業時，因未配戴安全帶且現場未設護欄，不慎墜落至地面死亡。
111/06/10 08:00,建國工程股份有限公司,廠房新建工程 (第1期),高雄市苓雅區四維四路350號,被撞,2死,移動式起重機進行鋼梁吊裝作業時，因吊線斷裂導致鋼梁飛落，砸中下方地面配合之勞工。
111/07/01 14:00,瑞助營造股份有限公司,中心商業大樓新建案 (第3期),臺中市西屯區台灣大道307號,物體飛落,1死,移動式起重機進行鋼梁吊裝作業時，因吊線斷裂導致鋼梁飛落，砸中下方地面配合之勞工。
111/07/25 09:00,遠雄營造股份有限公司,高速公路拓寬工程 (第2期),高雄市苓雅區四維四路139號,感電,2死,移動式起重機進行鋼梁吊裝作業時，因吊線斷裂導致鋼梁飛落，砸中下方地面配合之勞工。
111/09/09 10:00,達欣工程股份有限公司,捷運系統土建工程 (第1期),桃園市中壢區中正路363號,感電,1死,勞工於高處從事模板組配作業時，因未配戴安全帶且現場未設護欄，不慎墜落至地面死亡。
111/07/08 12:00,建國工程股份有限公司,廠房新建工程 (第3期),臺中市西屯區台灣大道240號,倒塌、崩塌,2死,移動式起重機進行鋼梁吊裝作業時，因吊線斷裂導致鋼梁飛落，砸中下方地面配合之勞工。
111/10/07 09:00,瑞助營造股份有限公司,捷運系統土建工程 (第3期),臺北市內湖區瑞光路138號,被撞,1死,工地進行深開挖作業，邊坡土質鬆軟且未設置擋土支撐，導致土石突然崩塌將下方勞工掩埋。
111/05/07 12:00,根基營造股份有限公司,捷運系統土建工程 (第3期),桃園市中壢區中正路245號,倒塌、崩塌,1死,勞工於高處從事模板組配作業時，因未配戴安全帶且現場未設護欄，不慎墜落至地面死亡。
111/12/12 11:00,皇昌營造股份有限公司,高速公路拓寬工程 (第1期),臺北市內湖區瑞光路314號,物體飛落,2死,工地進行深開挖作業，邊坡土質鬆軟且未設置擋土支撐，導致土石突然崩塌將下方勞工掩埋。
111/01/22 13:00,皇昌營造股份有限公司,集合住宅新建工程 (第1期),高雄市苓雅區四維四路99號,感電,1死,勞工於外牆鷹架上進行磁磚黏貼作業，因踏板未鋪滿且未設置安全網，踩空墜落死亡。
111/08/18 08:00,皇昌營造股份有限公司,廠房新建工程 (第1期),臺北市內湖區瑞光路398號,倒塌、崩塌,2死,工地進行深開挖作業，邊坡土質鬆軟且未設置擋土支撐，導致土石突然崩塌將下方勞工掩埋。
111/01/23 11:00,互助營造股份有限公司,高速公路拓寬工程 (第2期),桃園市中壢區中正路305號,倒塌、崩塌,1死,移動式起重機進行鋼梁吊裝作業時，因吊線斷裂導致鋼梁飛落，砸中下方地面配合之勞工。
